algo,all_dim,seed,gen_cnt,dim,delta,sec,len,cnt
deeplll,10,0,1000,10,0.99,3.951,486,6316
deeplll,10,0,1000,10,1.0,3.978,517,6613
deeplll,10,1,1000,10,0.99,3.936,507,6723
deeplll,10,1,1000,10,1.0,4.602,540,7145
deeplll,10,2,1000,10,0.99,3.463,457,6255
deeplll,10,2,1000,10,1.0,3.434,470,6318
deeplll,10,3,1000,10,0.99,3.302,432,5833
deeplll,10,3,1000,10,1.0,3.521,451,5986
deeplll,10,4,1000,10,0.99,4.524,521,6926
deeplll,10,4,1000,10,1.0,4.75,561,7328
deeplll,15,0,1000,15,0.99,34.702,1270,28650
deeplll,15,0,1000,15,1.0,36.507,1344,30118
deeplll,15,1,1000,15,0.99,41.999,1428,33922
deeplll,15,1,1000,15,1.0,41.844,1520,35494
deeplll,15,2,1000,15,0.99,40.254,1322,31225
deeplll,15,2,1000,15,1.0,43.913,1495,34596
deeplll,15,3,1000,15,0.99,52.038,1473,33677
deeplll,15,3,1000,15,1.0,41.105,1605,35870
deeplll,15,4,1000,15,0.99,40.43,1246,27588
deeplll,15,4,1000,15,1.0,36.629,1272,28022
deeplll,20,0,1000,20,0.99,243.222,3245,105291
deeplll,20,0,1000,20,1.0,315.913,4027,128064
deeplll,20,1,1000,20,0.99,469.306,3490,111398
deeplll,20,1,1000,20,1.0,284.294,3959,123890
deeplll,20,2,1000,20,0.99,258.731,3659,120158
deeplll,20,2,1000,20,1.0,312.895,4068,129845
deeplll,20,3,1000,20,0.99,181.244,3127,100218
deeplll,20,3,1000,20,1.0,192.012,3373,105817
deeplll,20,4,1000,20,0.99,192.106,3028,97430
deeplll,20,4,1000,20,1.0,197.584,3296,103673
deeplll,25,0,1000,25,0.99,773.847,6555,278599
deeplll,25,0,1000,25,1.0,931.501,7998,326905
deeplll,25,1,1000,25,0.99,916.706,6922,301272
deeplll,25,1,1000,25,1.0,893.805,7813,317031
deeplll,25,2,1000,25,0.99,779.242,6693,274690
deeplll,25,2,1000,25,1.0,936.078,8259,333845
deeplll,25,3,1000,25,0.99,813.665,6518,276279
deeplll,25,3,1000,25,1.0,1030.002,8674,353967
deeplll,25,4,1000,25,0.99,915.457,7051,297947
deeplll,25,4,1000,25,1.0,1087.72,8608,344845
deeplll,30,0,1000,30,0.99,2455.266,11944,600437
deeplll,30,0,1000,30,1.0,3065.239,15218,747828
deeplll,30,1,1000,30,0.99,2462.578,12261,616679
deeplll,30,1,1000,30,1.0,2883.421,15072,742247
deeplll,30,2,1000,30,0.99,2634.144,12651,653449
deeplll,30,2,1000,30,1.0,3091.573,15470,764686
deeplll,30,3,1000,30,0.99,2553.992,11441,571593
deeplll,30,3,1000,30,1.0,3240.262,16589,803927
deeplll,30,4,1000,30,0.99,2547.59,12579,646361
deeplll,30,4,1000,30,1.0,2972.224,15400,753802
deeplll,35,0,1000,35,0.99,9027.866,24239,1505015
deeplll,35,0,1000,35,1.0,11518.945,33381,1990870
deeplll,35,1,1000,35,0.99,8404.405,22975,1382519
deeplll,35,1,1000,35,1.0,11312.363,31369,1800411
deeplll,35,2,1000,35,0.99,10738.108,21574,1289467
deeplll,35,2,1000,35,1.0,8937.787,25067,1424304
deeplll,35,3,1000,35,0.99,8365.275,21214,1285218
deeplll,35,3,1000,35,1.0,11168.374,31244,1812803
deeplll,35,4,1000,35,0.99,7951.469,22677,1358346
deeplll,35,4,1000,35,1.0,9806.392,29246,1700851
deeplll05,10,0,1000,10,0.99,4.135,579,5696
deeplll05,10,0,1000,10,1.0,4.339,601,5903
deeplll05,10,1,1000,10,0.99,4.223,589,5855
deeplll05,10,1,1000,10,1.0,4.307,606,6010
deeplll05,10,2,1000,10,0.99,3.572,522,5317
deeplll05,10,2,1000,10,1.0,3.765,558,5634
deeplll05,10,3,1000,10,0.99,3.473,517,5239
deeplll05,10,3,1000,10,1.0,3.538,529,5317
deeplll05,10,4,1000,10,0.99,4.794,610,6092
deeplll05,10,4,1000,10,1.0,5.012,641,6381
deeplll05,15,0,1000,15,0.99,18.952,471,5263
deeplll05,15,0,1000,15,1.0,21.807,612,6902
deeplll05,15,1,1000,15,0.99,21.639,674,7780
deeplll05,15,1,1000,15,1.0,19.443,518,5799
deeplll05,15,2,1000,15,0.99,21.301,547,6059
deeplll05,15,2,1000,15,1.0,21.009,543,6033
deeplll05,15,3,1000,15,0.99,25.494,687,8195
deeplll05,15,3,1000,15,1.0,26.603,735,8644
deeplll05,15,4,1000,15,0.99,21.982,688,8106
deeplll05,15,4,1000,15,1.0,21.076,622,7071
deeplll05,20,0,1000,20,0.99,50.605,428,5104
deeplll05,20,0,1000,20,1.0,52.585,454,5382
deeplll05,20,1,1000,20,0.99,47.32,387,4432
deeplll05,20,1,1000,20,1.0,49.317,408,4570
deeplll05,20,2,1000,20,0.99,54.488,452,5150
deeplll05,20,2,1000,20,1.0,65.43,553,6458
deeplll05,20,3,1000,20,0.99,41.464,377,4560
deeplll05,20,3,1000,20,1.0,46.029,422,5306
deeplll05,20,4,1000,20,0.99,60.752,566,6977
deeplll05,20,4,1000,20,1.0,53.976,489,5813
deeplll05,25,0,1000,25,0.99,99.759,388,4895
deeplll05,25,0,1000,25,1.0,57.561,213,2458
deeplll05,25,1,1000,25,0.99,86.083,311,3924
deeplll05,25,1,1000,25,1.0,86.433,315,3919
deeplll05,25,2,1000,25,0.99,48.18,176,2110
deeplll05,25,2,1000,25,1.0,99.267,386,4873
deeplll05,25,3,1000,25,0.99,80.283,318,3976
deeplll05,25,3,1000,25,1.0,80.432,326,3933
deeplll05,25,4,1000,25,0.99,71.775,269,3265
deeplll05,25,4,1000,25,1.0,61.701,240,2773
deeplll05,30,0,1000,30,0.99,90.052,177,2243
deeplll05,30,0,1000,30,1.0,87.91,171,2161
deeplll05,30,1,1000,30,0.99,130.139,286,3853
deeplll05,30,1,1000,30,1.0,71.549,147,1802
deeplll05,30,2,1000,30,0.99,133.03,256,3364
deeplll05,30,2,1000,30,1.0,115.823,217,2774
deeplll05,30,3,1000,30,0.99,106.576,208,2575
deeplll05,30,3,1000,30,1.0,143.245,288,3617
deeplll05,30,4,1000,30,0.99,99.421,199,2425
deeplll05,30,4,1000,30,1.0,94.507,196,2418
deeplll05,35,0,1000,35,0.99,122.045,135,1818
deeplll05,35,0,1000,35,1.0,191.297,214,2893
deeplll05,35,1,1000,35,0.99,115.712,131,1684
deeplll05,35,1,1000,35,1.0,167.248,195,2578
deeplll05,35,2,1000,35,0.99,135.103,165,2229
deeplll05,35,2,1000,35,1.0,141.795,179,2347
deeplll05,35,3,1000,35,0.99,166.831,206,2892
deeplll05,35,3,1000,35,1.0,152.22,188,2612
deeplll05,35,4,1000,35,0.99,117.894,136,1677
deeplll05,35,4,1000,35,1.0,278.777,346,4414
deeplll05,40,0,1000,40,0.99,248.082,195,2708
deeplll05,40,0,1000,40,1.0,284.28,223,3208
deeplll05,40,1,1000,40,0.99,189.634,146,1961
deeplll05,40,1,1000,40,1.0,211.834,162,2226
deeplll05,40,2,1000,40,0.99,185.223,139,1925
deeplll05,40,2,1000,40,1.0,178.567,138,1831
deeplll05,40,3,1000,40,0.99,238.695,188,2559
deeplll05,40,3,1000,40,1.0,178.616,143,1757
deeplll05,40,4,1000,40,0.99,261.181,211,2981
deeplll05,40,4,1000,40,1.0,256.571,217,2808
deeplll10,10,0,1000,10,0.99,3.9,486,6316
deeplll10,10,0,1000,10,1.0,4.18,517,6613
deeplll10,10,1,1000,10,0.99,4.12,507,6723
deeplll10,10,1,1000,10,1.0,4.26,540,7145
deeplll10,10,2,1000,10,0.99,3.515,457,6255
deeplll10,10,2,1000,10,1.0,3.566,470,6318
deeplll10,10,3,1000,10,0.99,3.312,432,5833
deeplll10,10,3,1000,10,1.0,3.446,451,5986
deeplll10,10,4,1000,10,0.99,4.596,521,6926
deeplll10,10,4,1000,10,1.0,4.814,561,7328
deeplll10,15,0,1000,15,0.99,32.704,1241,25549
deeplll10,15,0,1000,15,1.0,34.043,1307,26299
deeplll10,15,1,1000,15,0.99,32.632,1304,26668
deeplll10,15,1,1000,15,1.0,35.126,1441,29658
deeplll10,15,2,1000,15,0.99,35.515,1305,27680
deeplll10,15,2,1000,15,1.0,36.512,1386,28323
deeplll10,15,3,1000,15,0.99,39.827,1487,30990
deeplll10,15,3,1000,15,1.0,36.991,1239,24264
deeplll10,15,4,1000,15,0.99,25.635,804,14955
deeplll10,15,4,1000,15,1.0,30.549,1163,22497
deeplll10,20,0,1000,20,0.99,99.931,956,20608
deeplll10,20,0,1000,20,1.0,133.598,1495,33886
deeplll10,20,1,1000,20,0.99,131.365,1435,32221
deeplll10,20,1,1000,20,1.0,134.576,1464,31886
deeplll10,20,2,1000,20,0.99,131.034,1323,29217
deeplll10,20,2,1000,20,1.0,149.027,1588,34413
deeplll10,20,3,1000,20,0.99,111.766,1337,31095
deeplll10,20,3,1000,20,1.0,107.831,1250,27005
deeplll10,20,4,1000,20,0.99,111.855,1219,26254
deeplll10,20,4,1000,20,1.0,132.981,1506,33090
deeplll10,25,0,1000,25,0.99,178.815,666,14447
deeplll10,25,0,1000,25,1.0,180.098,705,15243
deeplll10,25,1,1000,25,0.99,255.159,1085,26739
deeplll10,25,1,1000,25,1.0,201.671,764,16926
deeplll10,25,2,1000,25,0.99,232.665,963,23048
deeplll10,25,2,1000,25,1.0,263.462,1191,28565
deeplll10,25,3,1000,25,0.99,204.559,861,20182
deeplll10,25,3,1000,25,1.0,207.526,850,19494
deeplll10,25,4,1000,25,0.99,160.647,607,12765
deeplll10,25,4,1000,25,1.0,284.05,1234,28818
deeplll10,30,0,1000,30,0.99,255.518,514,11378
deeplll10,30,0,1000,30,1.0,409.049,868,19604
deeplll10,30,1,1000,30,0.99,269.251,593,13784
deeplll10,30,1,1000,30,1.0,358.003,828,19550
deeplll10,30,2,1000,30,0.99,382.582,820,19997
deeplll10,30,2,1000,30,1.0,296.132,568,12717
deeplll10,30,3,1000,30,0.99,303.31,592,13751
deeplll10,30,3,1000,30,1.0,415.554,817,18808
deeplll10,30,4,1000,30,0.99,318.098,662,14730
deeplll10,30,4,1000,30,1.0,375.814,780,17644
deeplll10,35,0,1000,35,0.99,391.331,426,9874
deeplll10,35,0,1000,35,1.0,456.301,498,11450
deeplll10,35,1,1000,35,0.99,462.637,554,13255
deeplll10,35,1,1000,35,1.0,492.395,567,13055
deeplll10,35,2,1000,35,0.99,479.872,612,15305
deeplll10,35,2,1000,35,1.0,361.563,442,11062
deeplll10,35,3,1000,35,0.99,413.458,489,12172
deeplll10,35,3,1000,35,1.0,459.478,551,13568
deeplll10,35,4,1000,35,0.99,465.05,545,12421
deeplll10,35,4,1000,35,1.0,525.681,614,14296
deeplll10,40,0,1000,40,0.99,522.556,387,9850
