algo,all_dim,seed,dim,delta,sec,len,cnt
deeplll,40,0,10,0.99,14.094,717,6932
deeplll,40,0,10,1.0,13.463,742,7131
deeplll,40,0,15,0.99,163.919,1774,32610
deeplll,40,0,15,1.0,163.79,1883,34512
deeplll,40,0,20,0.99,831.278,3788,102576
deeplll,40,0,20,1.0,985.008,4202,111518
deeplll,40,0,25,0.99,3665.797,7995,297713
deeplll,40,0,25,1.0,4180.712,9036,329646
deeplll,40,0,30,0.99,10585.122,14587,682767
deeplll,40,0,30,1.0,13176.303,17425,787041
deeplll,40,0,35,1.0,38788.59,33392,1819100
deeplll,40,1,10,0.99,15.378,778,7123
deeplll,40,1,10,1.0,15.519,801,7265
deeplll,40,1,15,0.99,119.847,1691,29289
deeplll,40,1,15,1.0,132.318,1853,32422
deeplll,40,1,20,0.99,693.343,3736,100520
deeplll,40,1,20,1.0,860.222,4564,124505
deeplll,40,1,25,0.99,3164.791,8135,304078
deeplll,40,1,25,1.0,3633.428,9430,340199
deeplll,40,1,30,0.99,10312.603,14938,701133
deeplll,40,1,30,1.0,12274.765,18261,824815
deeplll,40,2,10,0.99,15.646,771,7380
deeplll,40,2,10,1.0,16.537,790,7524
deeplll,40,2,15,0.99,128.089,1765,30762
deeplll,40,2,15,1.0,132.203,1832,32106
deeplll,40,2,20,0.99,797.647,4066,112167
deeplll,40,2,20,1.0,887.883,4597,125639
deeplll,40,2,25,0.99,3054.59,7673,281521
deeplll,40,2,25,1.0,3402.281,8587,304518
deeplll,40,2,30,0.99,10106.676,14273,658600
deeplll,40,2,30,1.0,12332.797,17661,800239
deeplll,40,3,10,0.99,16.102,774,7610
deeplll,40,3,10,1.0,15.365,787,7715
deeplll,40,3,15,0.99,162.697,1888,34040
deeplll,40,3,15,1.0,174.308,1998,36132
deeplll,40,3,20,0.99,712.352,3724,97786
deeplll,40,3,20,1.0,799.891,4146,108598
deeplll,40,3,25,0.99,3067.408,7738,281175
deeplll,40,3,25,1.0,3304.08,8492,299196
deeplll,40,3,30,0.99,10040,14535,672435
deeplll,40,3,30,1.0,12561.841,17865,817353
deeplll,40,4,10,0.99,16.628,767,7392
deeplll,40,4,10,1.0,17.099,800,7624
deeplll,40,4,15,0.99,140.891,1891,35320
deeplll,40,4,15,1.0,153.492,2066,38569
deeplll,40,4,20,0.99,844.688,4437,124018
deeplll,40,4,20,1.0,904.62,4841,130124
deeplll,40,4,25,0.99,3307.132,8587,322622
deeplll,40,4,25,1.0,3672.962,9731,348919
deeplll,40,4,30,0.99,10595.47,14898,687797
deeplll,40,4,30,1.0,12448.68,17482,786589
deeplll05,40,0,10,0.99,13.949,807,6363
deeplll05,40,0,10,1.0,14.909,851,6751
deeplll05,40,0,15,0.99,78.737,1337,13313
deeplll05,40,0,15,1.0,84.108,1384,13651
deeplll05,40,0,20,0.99,143.627,1345,13481
deeplll05,40,0,20,1.0,174.137,1515,15537
deeplll05,40,0,25,0.99,334.818,1345,13506
deeplll05,40,0,25,1.0,417.111,1515,15562
deeplll05,40,0,30,0.99,281.194,1345,13531
deeplll05,40,0,30,1.0,555.868,1515,15587
deeplll05,40,0,35,0.99,391.501,1345,13556
deeplll05,40,0,35,1.0,459.412,1515,15612
deeplll05,40,0,40,0.99,498.036,1345,13581
deeplll05,40,0,40,1.0,604.467,1515,15637
deeplll05,40,1,10,0.99,15.601,853,6511
deeplll05,40,1,10,1.0,15.889,865,6564
deeplll05,40,1,15,0.99,59.864,1145,10227
deeplll05,40,1,15,1.0,60.582,1163,10362
deeplll05,40,1,20,0.99,146.525,1371,13217
deeplll05,40,1,20,1.0,137.783,1352,12830
deeplll05,40,1,25,0.99,212.85,1371,13242
deeplll05,40,1,25,1.0,203.452,1352,12855
deeplll05,40,1,30,0.99,287.247,1371,13267
deeplll05,40,1,30,1.0,270.517,1352,12880
deeplll05,40,1,35,0.99,416.532,1371,13292
deeplll05,40,1,35,1.0,370.538,1352,12905
deeplll05,40,1,40,0.99,495.909,1371,13317
deeplll05,40,1,40,1.0,474.124,1352,12930
deeplll05,40,2,10,0.99,18.112,854,6707
deeplll05,40,2,10,1.0,21.104,882,7011
deeplll05,40,2,15,0.99,77.949,1338,13001
deeplll05,40,2,15,1.0,65.171,1185,10791
deeplll05,40,2,20,0.99,140.536,1367,13405
deeplll05,40,2,20,1.0,106.436,1185,10816
deeplll05,40,2,25,0.99,206.866,1367,13430
deeplll05,40,2,25,1.0,154.9,1185,10841
deeplll05,40,2,30,0.99,280.509,1367,13455
deeplll05,40,2,30,1.0,211.622,1185,10866
deeplll05,40,2,35,0.99,383.984,1367,13480
deeplll05,40,2,35,1.0,295.835,1185,10891
deeplll05,40,2,40,0.99,480.801,1367,13505
deeplll05,40,2,40,1.0,368.412,1185,10916
deeplll05,40,3,10,0.99,15.696,849,6710
